Additive or Multiplicative attributes?,Multiplicative,,,,,,,,,,,,,,,,,,,,,,,,,,
Low and high percentile cut-offs for attribute scoring,1.0/3.0,2.0/3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Number of attributes,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Low and high thresholds,1.0/3.0,1.0/3.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishery,Stock,Management Strategy,Areal Overlap,Geographic Concentration,Vertical Overlap,Fishing rate relative to M,Biomass of Spawners,Seasonal Migrations,Schooling-Aggregation,Morphology Affecting Capture,Post Release Mortality,Value of the Fishery,Fishery Impact to EFH,,,Management Strategy weights,Areal Overlap weights,Geographic Concentration weights,Vertical Overlap weights,Fishing rate relative to M weights,Biomass of Spawners weights,Seasonal Migrations weights,Schooling-Aggregation weights,Morphology Affecting Capture weights,Post Release Mortality weights,Value of the Fishery weights,Fishery Impact to EFH weights
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Albacore,1,1,1,3,3,1,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Bigeye Tuna,1,1,1,2,3,2,,2,3,3,3,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Black Marlin,1,1,1,3,,,,2,2,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Bullet Tuna,2,1,1,2,,,,2,1,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Pacific Pomfret,2,1,1,3,,,,2,3,2,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Blue Shark,1,1,1,3,3,1,,2,3,1,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Bigeye thresher shark,2,1,1,2,,,,2,3,1,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Blue Marlin,1,1,1,3,2,1,,2,3,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Dolphin Fish,1,1,1,2,,,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Brilliant Pomfret,2,1,3,3,,,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Kawakawa,2,1,1,2,,,,2,1,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Spotted Moonfish,1,1,1,3,,,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Longfin Mako Shark,2,1,1,3,,,,2,3,2,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Salmon Shark,2,1,1,2,,,,2,3,2,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Striped Marlin,1,1,1,3,3,,,2,3,1,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Oilfish,2,1,1,1,,,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
Hawaii Longline Fishery - Tuna Sector,Northern Bluefin Tuna,1,1,1,2,3,2,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Roudi Escolar,2,1,1,3,,,,2,3,2,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Pelagic Thresher Shark,2,1,1,3,,,,2,3,2,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Sailfish,1,1,1,2,,,,2,3,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Skipjack Tuna,1,1,1,3,1,1,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Shortfinned Mako Shark,2,1,1,3,,,,2,3,2,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Short Bill Spearfish,1,1,1,2,,,,2,3,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Broadbill Swordfish,1,1,1,1,1,1,,2,3,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Flatheat Pomfret,2,1,1,3,,,,2,3,1,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Dagger Pomfret,2,1,1,3,,,,2,3,1,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Sickle Pomfret,2,1,1,3,,,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Wahoo,1,1,1,3,,,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Yellowfin Tuna,1,1,1,3,2,1,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Oceanic Whitetip Shark,1,1,1,3,,,,2,3,1,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Silky Shark,2,1,1,3,,,,2,3,1,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Common Thresher Shark,2,1,1,3,,,,2,3,2,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Escolar,2,1,1,2,,,,2,3,2.5,1.5,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GM Cod,2,3,2,3,3,2,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,GB Cod,2,3,2,3,3,3,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,GM Haddock,2,3,2,3,2,2,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
NE Groundfish,GB Haddock,2,3,2,3,2,3,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,Redfish,2,3,2,3,2,1.5,2,2,2,3,2,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,Pollock,2,3,2,3,2,2,2,2,2,3,2,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,CC-GM Yellowtail Flounder,2,3,2,3,3,3,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,GB Yellowtail Flounder,2,3,2,3,3,2,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,SNE Yellowtail Flounder,2,3,2,3,3,3,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,American Plaice,2,3,2,3,2,1,2,2,2,3,2,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,Witch Flounder,2,3,2,3,3,2,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,GM Winter Flounder,2,3,2,3,3,2,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
NE Groundfish,GB Winter Flounder,2,3,2,3,3,2,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,SNE-MidA winter Flouder,2,3,2,3,3,2,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,GM-GB Windowpane,2,3,2,3,2,2,2,2,2,3,1,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,SNE-MA Windowpane,2,3,2,3,2,2,2,2,2,3,1,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,Ocean Pout,2,3,2,3,2,2,2,2,2,3,1,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,White Hake,2,3,2,3,3,2,2,2,2,3,2,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,Halibut,2,3,2,3,3,3,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sand Tilefish,3,1,1,1,,,,2,2,2.5,1,1.5,,,2,4,2,3,2,2,1,2,2,2,2,1
SA/GOM Snapper-Grouper Bottom Longline,Bar Jack,3,1,1,1,,,,2,1.5,2.5,1,1.5,,,2,4,2,3,2,2,1,2,2,2,2,1
,Rock Sea Bass,3,1,1,1,,,,2,2,3,1,1.5,,,2,4,2,3,2,2,1,2,2,2,2,1
,Margate,3,1,1,2,,,,2,2,3,1,1.5,,,2,4,2,3,2,2,1,2,2,2,2,1
